YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,label
1.830631411,31.5649,44.61,-68.8513,-0.067266442,-0.595349085,12.86821705,0.94964611,0.496779734,0.325832973,0.281263522,0
-43.53829556,3.8632,-35.19,-27.2164,-0.381217382,0.056708275,33.57142857,4.374171126,0.215866628,0.262332872,0.535730751,0
-0.359551454,-0.8029,432.52,-8.5137,0.016184978,1.500774676,21.28151261,2.502728569,1.738174223,0.565437788,0.12718894,0
-9.05,5.2924,0.66,-8.8606,-0.126515888,-0.043947103,10.79032258,0.945882814,-0.334864123,0.18788143,0.003487358,0
19.78929174,24.5623,225.6,-118.2983,0.127321867,-11.93376429,26.48529412,1.808545509,0.866505453,0.410905968,0.759553456,0
-64.75449246,-64.0029,-59.19,1.8314,-0.938481204,-0.390952232,29.5,1.105659868,0.007153308,0.037525773,0.830927835,1
32.33908139,95.2123,14.61,335.4178,1.000692918,-0.011823727,36.03158934,1.21891913,-0.142713343,0.030966144,0,0
-6.327562587,-9.3202,36.22,-30.3481,0.077133632,-3.526241179,40.30434783,1.041542122,0.291257628,0.25780248,0.35057717,0
31.54420173,23.5278,5.86,-86.8404,0.559042723,-1.833497347,73.875,4.419597142,0.435289442,0.970718722,0.626441881,1
-4.054160742,49.53,-282.25,-476.5459,0.884043535,-1.240299521,-90.16666667,15.2695311,0.276244397,0.901655307,0,0
-10.36999779,13.6756,5.74,55.0206,0.006245041,0.92836475,17.37777778,2.14967755,0.202460277,0.098381601,0.093270869,1
-6.580333872,111.0523,-35.5,232.3741,-0.054046815,-0.581063262,29.42028986,1.205825139,-0.555056883,0.149313248,0.350022153,1
29.40835631,129.4986,23.86,215.6701,0.627130039,0.52961817,5.223076923,1.042448875,-0.147800622,0.163117547,0,0
-19.0940049,-49.5751,-1091.67,-2060.7018,-0.234128622,-6.905265381,-27.25968436,8.660037812,0.920808762,0.86920385,0,0
-9.190916739,42.3935,-770.66,-984.7995,0.012387401,12.0862103,-5.76056338,0.684133162,-0.252675542,0.004516712,0,0
14.95373361,705.9392,41.58,233.7858,0.105264002,-26.68123127,48.17708333,0.631978322,-0.335897436,0,0.798423891,0
-73.83799228,212.1854,-163.25,48.5663,0.441507239,-0.91750332,-92.3125,2.297288612,0.250483793,0.407582938,0,1
34.59801911,216.3256,29.85,138.5277,0.51972753,0.403357109,5.241666667,0.974738262,-0.096388015,0.187022901,0,1
-13.96548978,16.188,-8.22,8.2258,-0.013556731,-0.039009798,351.3157895,8.024792356,-0.181579331,0.69738277,0.368047983,0
-4.010256636,0.0839,-844.57,-73.8106,0.127091123,-2.049481877,-23.9,2.014302273,0.31714998,0.124670764,0,1
8.77630809,33.1424,12.57,16.8847,-0.023334977,0.280676511,22.31325301,1.785986938,-0.075760456,0.177186655,0,0
0.062880455,17.0144,-89.89,392.8645,0.132992456,2.998662989,139,1.017957256,0.438639724,0.355371901,0.800782949,1
1810.287194,-21.2036,276.72,-175.8558,40.58303655,-0.256392757,101.7953321,19.32748872,0.339822212,0.602393005,0,0
2.331103821,10257.5206,-741.94,-462.519,0.068305916,-4.556121859,-2.016438356,6.904388862,0.429126214,1,0,0
-42.85036734,29.4556,69.03,-405.2532,-0.420895453,-0.797968388,-10.14005602,4.725298094,-0.204104067,0.171822941,0,1
-13.14071502,44.1502,147.92,52.9449,-0.010934856,-1.54181199,17.56818182,1.553818427,1.014212957,0.708261618,0.209982788,0
11.56610319,19.3358,-78.16,-25.9972,0.329565267,-197.5891929,239.5238095,1.689153971,-0.152913439,0.422743056,0.912326389,1
-8.975886079,37.3342,100.44,-194.8396,0.225770364,-0.965403728,-16.37183489,39.58382487,0.109966405,1,0,1
