YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,净现比,WEIGHTAVG_ROE,XSMLL,label
-7.694377076,8.0271,-11.16,5.1533,-0.02395033,-0.062754692,30.6744186,4.620621665,0.017735533,0.900695134,0.736842105,1.37376307,15.5,27.06071044,1
24.02938417,17.6804,-11.77,-48.396,0.361225145,-0.358129554,25.50442478,4.12571436,0.851788392,0.813953488,0.443410853,1.359020949,16.18,35.34725127,1
11.85408995,17.0064,49.81,-11.4832,0.21092018,0.243651837,10.13235294,1.810835504,0.033721512,0.293147862,0,1.268638849,20.67,25.58533687,1
15.7310001,-1.9982,-2.2,-28.1955,0.160093277,-0.07425557,16.48648649,2.409078159,-0.391391106,0.175635719,0.013601419,0.983008683,15.58,29.44766276,0
44.56684278,0.1406,62.73,-56.4842,0.773735793,0.237615887,27.18543995,5.195152046,0.689476028,0.936452514,0.467178771,2.175421152,23.73,23.31416269,1
49.53393996,29.0772,3165.21,-92.9861,0.800677401,-1.196712041,178.4137931,16.6910167,0.207253544,0.975766215,0.917320029,1.99667734,17.49,34.97299755,0
-9.273596396,71.9329,172.34,1121.194,0.609093112,-4.391887297,15.65116279,3.145616144,0.074181044,0.115133961,0.071687183,1.152367359,22.3,36.28328781,0
20.77652266,6.4709,30.81,-1.0444,0.212868565,0.550742365,31.26132,4.455494514,0.95148525,0.5252443,0.444625407,1.257571564,15.81,35.81875156,1
54.90829526,-15.5131,19.92,-82.4535,-0.031842864,-0.658123994,12.25714286,2.024377047,-0.251951287,0.173764906,0,2.309427858,17.48,24.74006454,0
13.49516704,249.1996,15.55,218.0261,0.257841083,0.268680082,37.28813559,5.528526026,0.141928641,0.136219641,0.029567054,1.120890685,15.54,53.24860803,0
1.253789654,5.2255,4.09,-20.9786,0.255292093,-0.096038182,30.90804598,5.003121221,0.429088424,0.520286396,0.176610979,1.051743531,15.91,30.13373137,0
46.55510387,-8.1353,71.25,-28.0331,0.409593463,0.328532619,19.50675676,6.276828997,-0.029098072,0.204398448,0.080206986,0.963066653,34.4,43.12026833,0
26.17392266,7.3989,22.68,-19.8555,0.453350743,0.575240934,26.83157895,5.676897234,0.35594514,0.991643454,0.1545961,1.279144951,22.97,73.88357792,0
61.66791924,8.1248,414.51,-61.4074,0.503576319,0.912676073,8.056872038,3.794769474,-0.208966396,0.007204611,0,0.999124615,56.42,27.7518165,0
26.20993346,9.1377,30.12,9.1831,0.232219462,0.449200437,40.92715232,11.81527692,-0.18199352,0.612359551,0.342696629,0.915033767,32.01,85.8695445,1
10.2265292,-14.6442,16.01,-11.1718,-0.086595145,-0.091366548,31.53333333,6.220888445,-0.053868364,0.177453027,0.006263048,1.226178747,23.86,26.47115094,0
27.85935677,-1.3451,30.89,15.6934,0.354399698,0.454784898,28.58571429,4.709903668,0.741153559,0.981132075,0.962264151,1.01289144,17.91,34.29013801,0
-12.5616241,4.6064,22.03,170.6112,0.021366793,2.242210316,23.578125,3.884418186,0.168818235,0.448837209,0,1.553404195,18.26,13.83233796,1
62.99937429,-10.4974,255.27,-19.852,0.163623243,0.839068427,10.53551913,4.194645559,-0.45899865,0,0,1.239771202,44,41.71666507,1
19.02323126,0.6501,34.93,6.3788,0.134785283,0.485351814,21.87379017,3.926888108,-0.145852504,0,0,1.347203075,20.64,64.53075193,0
2.761864455,-16.8661,32.38,-20.1388,-0.025985606,0.24304536,20.82317073,3.997622074,-0.160768701,0,0,1.577706753,22.64,33.79977882,1
12.07747928,20.7589,21.25,-12.8917,0.24415545,0.544496209,90.81221198,14.02184126,0.940648905,0.99143102,0.981576692,1.610268837,16.75,49.96468269,1
27.29666963,30.4274,8.54,21.0854,0.538395719,0.943215044,90,10.52433808,0.287298441,0.93164557,0.813924051,0.920603062,18.97,29.00920637,1
19.24210212,-23.9604,25.01,-79.5645,0.482136845,0.200864282,166.9345308,29.54194922,0.741329921,0.9916978,0.9916978,1.917412515,21.48,51.02732094,1
43.47699563,2.0837,39.51,-15.5348,0.41744948,0.363270148,90.49580769,36.21822678,1.459971016,0.97034291,0.403151066,1.059191871,46.29,38.98758507,1
24.53420673,15.186,-4.66,-45.7418,0.316887027,0.180137384,28.10204487,4.934375526,-0.252498963,0.27655592,0.122133832,1.543896882,19.44,30.18533199,1
56.28688185,7.8254,173.28,-46.5994,0.592845142,1.21854302,75.23684211,13.77840309,2.065090872,0.975492552,0.521864488,1.218229281,17.73,35.65147898,1
